"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000002664",3,2,2,3,2,1
"ENSMUSG00000002668",100,49,93,178,126,144
"ENSMUSG00000002679",149,151,167,205,189,186
"ENSMUSG00000002688",4,6,11,5,7,10
"ENSMUSG00000002699",10,5,8,9,3,5
"ENSMUSG00000002718",1165,1237,1171,1243,1185,1059
"ENSMUSG00000002728",145,148,114,143,151,138
"ENSMUSG00000002731",410,461,343,465,375,420
"ENSMUSG00000002732",80,87,62,65,87,56
"ENSMUSG00000002733",127,125,118,125,135,111
"ENSMUSG00000002741",525,614,475,637,564,624
"ENSMUSG00000002748",2397,2597,2299,2745,2318,2507
"ENSMUSG00000002763",160,163,135,194,166,155
"ENSMUSG00000002767",52,58,56,76,66,54
"ENSMUSG00000002768",233,295,228,310,250,242
"ENSMUSG00000002769",7,7,3,7,4,2
"ENSMUSG00000002771",171,171,184,183,154,168
"ENSMUSG00000002778",217,239,204,253,218,222
"ENSMUSG00000002781",36,47,28,65,57,40
"ENSMUSG00000002791",1,0,1,1,0,1
"ENSMUSG00000002797",72,102,89,100,73,94
"ENSMUSG00000002799",197,237,186,263,201,196
"ENSMUSG00000002803",199,242,194,267,205,212
"ENSMUSG00000002804",32,25,24,27,14,28
"ENSMUSG00000002808",47,51,72,51,56,66
"ENSMUSG00000002812",364,425,396,417,358,440
"ENSMUSG00000002814",95,70,58,91,76,83
"ENSMUSG00000002820",59,44,56,65,75,56
"ENSMUSG00000002825",202,183,170,221,178,192
"ENSMUSG00000002831",18,13,11,13,19,14
"ENSMUSG00000002833",320,354,285,382,289,297
"ENSMUSG00000002835",13,30,21,19,16,20
"ENSMUSG00000002844",424,490,312,547,460,494
"ENSMUSG00000002845",333,323,386,377,387,327
"ENSMUSG00000002846",231,229,158,283,205,231
"ENSMUSG00000002847",0,0,1,0,0,2
"ENSMUSG00000002870",72,77,67,93,71,64
"ENSMUSG00000002871",86,97,83,101,88,93
"ENSMUSG00000002881",75,76,71,83,74,83
"ENSMUSG00000002885",12,13,8,4,12,13
"ENSMUSG00000002897",109,85,109,97,83,57
"ENSMUSG00000002900",24,56,36,39,31,25
"ENSMUSG00000002908",166,172,147,239,191,197
